x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,y
1.919,-0.082,-0.047,0.287,0.765,2.728,-1.836,-0.649,-0.033,0.710,0.247,-1.845,-0.264,0.237,-0.827,2.807,-0.155,0.679,0.213,-1.032,0.365,-1.938,0.231,-1.186,-1.160,0.653,0.756,-1.594,-1.442,0.784,-0.658,0.168,-0.726,-1.629,-1.001,1.163,-0.098,1.208,-1.091,0.152,-1.375,0.210,0.264,-0.353,-0.894,-0.715,-1.293,1.377,-0.449,-0.937,20.973
1.306,0.134,0.204,-1.646,-0.866,0.081,0.433,-0.589,0.646,0.367,0.542,0.464,-0.966,1.229,-0.021,0.826,0.879,1.336,0.042,0.713,-1.388,1.552,-1.614,-0.914,-0.431,0.530,-0.840,1.162,-1.964,0.658,-1.726,-0.210,2.294,0.651,0.438,1.336,0.553,-0.321,1.109,1.078,0.657,0.299,0.007,0.051,-0.218,-1.557,0.133,0.022,-2.132,-0.819,-6.758
-0.274,-1.355,0.049,-0.234,-0.658,0.670,-0.232,0.285,-0.399,-0.316,0.304,0.968,-0.967,-0.366,1.113,-0.200,-0.425,0.045,-0.092,-0.299,-1.493,-1.745,-0.444,0.741,0.091,-1.117,-2.069,0.541,0.005,0.345,-0.762,-1.201,-0.564,-1.033,-1.297,0.384,-0.377,-1.387,0.776,1.163,-0.847,0.339,1.142,0.185,-0.352,-0.088,-0.284,-1.542,-0.324,-0.637,8.128
0.433,-1.632,-0.220,2.050,-1.914,-0.584,0.736,-1.252,0.630,-0.564,0.273,-0.281,-0.494,-0.226,-0.644,0.814,-0.987,0.852,1.410,-0.698,-0.503,-1.099,0.656,-0.143,-0.403,-0.048,-1.470,0.313,1.033,0.236,-0.013,-0.685,1.142,-1.347,0.192,1.133,0.253,-0.693,2.590,-0.560,-0.603,-0.284,-0.273,0.427,-0.041,0.040,0.818,-0.829,0.118,-1.372,2.475
0.538,-0.813,-1.379,0.347,-0.717,0.477,0.084,-0.061,-0.496,0.287,-0.092,0.116,-0.371,0.403,-1.040,-0.351,3.186,-1.410,-0.589,-2.579,-0.507,0.018,0.866,1.062,0.996,0.590,-0.180,-0.964,1.959,-0.334,1.227,-0.973,-0.239,0.707,1.091,0.481,0.322,0.788,0.175,-2.142,0.458,-0.411,-0.294,1.316,-0.508,0.624,-2.174,1.989,-0.448,-1.680,15.670
-1.069,-1.476,1.171,1.076,-0.201,0.587,0.228,0.611,0.172,-0.877,0.992,0.520,-0.719,0.453,0.376,-0.752,0.345,1.113,-0.040,-0.289,0.404,0.061,0.133,-0.512,0.175,0.843,-1.248,-1.105,-0.429,-0.093,0.892,0.110,0.909,0.576,-0.254,-0.193,-2.354,-0.448,-1.171,1.050,0.406,-0.849,-1.602,-1.573,0.398,1.758,0.407,0.568,-0.452,-0.225,7.394
1.045,0.226,-1.697,-0.230,-0.372,-2.559,-0.040,-0.101,0.949,-0.249,2.229,0.623,-1.345,0.423,-1.472,-0.795,0.174,2.243,0.967,-1.059,0.268,-0.946,0.411,0.743,-0.440,-0.770,0.186,-0.489,1.198,1.723,-1.167,1.159,-0.414,0.728,-1.951,1.199,1.934,-1.111,0.162,1.426,0.572,0.078,-1.892,-1.101,1.771,-1.661,-1.498,0.365,-0.116,-0.731,10.942
1.641,1.104,-1.556,-0.299,-1.809,0.939,-0.143,-1.530,0.276,0.896,0.583,-0.592,-1.065,-1.671,0.559,0.090,0.700,2.698,-0.993,-1.123,-0.740,1.430,1.048,1.310,-0.793,-2.313,-0.260,0.972,1.247,-0.114,0.925,0.384,-0.779,-1.301,-0.949,-0.142,0.735,0.243,1.045,0.146,-0.261,0.920,-0.577,-0.916,1.600,-0.149,-0.242,-0.212,0.845,-0.176,-9.098
-1.056,0.427,0.787,-0.281,1.107,-1.171,0.218,-0.891,-0.394,-2.453,1.666,0.212,-0.612,0.091,-0.930,0.228,0.779,-0.688,0.373,-1.669,-0.366,0.411,0.669,1.069,1.634,0.459,-0.338,0.453,0.311,0.342,0.207,-0.342,0.356,-1.436,0.625,-1.295,0.713,0.179,-0.048,0.334,-1.091,0.024,1.318,0.283,1.898,0.109,0.120,1.005,0.093,-0.683,11.976
-0.429,0.910,-0.509,0.353,0.321,0.491,0.524,1.483,-0.594,0.225,0.615,-0.977,1.311,1.079,-1.463,-0.718,1.013,0.592,2.062,-0.159,0.528,0.135,-2.143,-0.568,-0.901,2.308,0.705,0.488,0.565,0.407,-0.547,2.235,1.313,-0.515,-1.898,0.033,0.566,0.427,-2.708,-0.628,-1.077,-0.770,0.799,-0.257,-2.816,-0.977,0.638,0.765,0.866,0.087,18.675
0.854,-0.576,-0.360,0.505,-0.471,-0.043,-1.678,1.548,1.042,2.249,0.485,-1.446,0.749,-0.233,1.225,-0.751,0.198,0.258,-0.477,-0.385,-1.220,-2.538,0.246,0.979,-0.761,1.486,-0.137,-0.661,-1.664,0.131,2.529,0.737,-0.875,-0.166,0.543,-0.096,1.167,0.062,0.761,-0.845,-0.352,0.011,-1.622,0.405,-1.030,0.503,-1.316,-1.194,-0.193,0.560,-4.506
-0.670,0.087,1.758,0.786,-0.917,1.909,-0.134,-0.057,-1.305,1.856,0.541,-0.210,0.115,1.398,-1.185,-1.183,-0.701,-0.960,0.033,-0.163,1.292,-0.840,-1.359,-3.256,2.202,-0.125,1.159,1.107,0.256,-0.532,-1.200,-0.399,0.549,-0.884,1.321,0.312,2.487,-0.676,0.236,0.327,0.170,1.392,-0.818,-0.416,0.606,-0.929,-0.629,-0.957,-0.141,1.730,19.138
-1.257,-1.158,0.724,-0.153,-0.569,0.212,-0.253,1.385,1.457,0.162,-0.208,-1.959,-0.816,-0.724,0.846,1.238,-0.984,-0.108,0.577,1.561,-1.394,-0.867,0.465,-0.775,1.682,-1.060,-0.067,0.080,-1.488,1.150,0.828,0.349,-0.598,0.593,1.112,2.062,1.800,-1.139,-0.097,-0.450,1.160,0.588,-0.704,0.722,-1.166,-0.980,-1.402,-0.749,1.327,-0.267,10.608
